Comments,sentiment_label,sentiment_score,sentiment_numeric
"10:30 It’s this part that I find lacking in the Quest 3. None of the movies look all that good, they don’t look terrible but you can quickly see that the quality isn’t anywhere close to your 4k tv or laptop/iPad etc. The Quest 3 kills the AVP in terms of overall content available and in gaming but in the area of content consumption I think the AVP is hands down the better device.",Neutral,0.5511755347,0
"14:36 "" You're vision is apple's vision, you see what apple has decided you see"" A major issue",Negative,0.572324574,-1
"16:22 why is the absence of Netflix and YouTube a way of Apple having it build for Apple TV? It was the decision of Netflix and Google not to have those apps available, Disney hast their app for vision Os and I think it works good",Negative,0.5951186419,-1
19:20 I thought the whole point of AppleVision Pro was not NEEDING to look at or pick up your phone.,Neutral,0.6029313803,0
"20:00 Yep, this is a big sticking point IMO. For sitting in your home office working remotely, great. Being isolated from the world is arguably even a plus. But in basically every other situation, it's a _big_ drawback.

AR/MR is never going to _really_ takeoff until ""headsets"" are pretty much in a spectacles form factor IMO. To me that's _clearly_ where Apple are aiming but it's surely _at least_ 5 years and 2-3 iterations away. Until then, this is pretty much a placeholder product to create a developer ecosystem.",Negative,0.5584264398,-1
3:18 Literally all the things I said from the very beginning and still can’t understand why folks are complaining🤷🏽‍♂️. I like this much better than actual FaceTime where someone can see that I badly need a haircut or have ummmm red eyes. It’s also refreshing that someone realizes this thing was made for develpers which is why even a huge Apple fan such as myself skipped this product and instead picked up a Meta Quest 3 to dip my toes in the AR/VR world but I can totally see where the AVP will one day be a device I must have.,Positive,0.7705240846,1
3:41  bro really took Apple Vision Pro and managed to escape from the public is insane like where do you get that confidence ? ☠️,Neutral,0.9869809747,0
"3:52 60% looking at the Vision Pro, 40% “Why is he wearing shorts and sandals in this weather?”",Neutral,0.9811582565,0
3D house or Designing will be Meta on Vision pro,Neutral,0.9773837328,0
"5:04 It comes with 2 headbands, the one ur wearing and a more general one with 2 straps",Neutral,0.8701329231,0
6:16 The animation for the vision pro's UI looks amazing!!,Positive,0.9561809301,1
"9:19 I'm sorry, in what world has someone bought a $3,500 headset and NOT bought smart lights? You don't need to get up and press the light switch...",Positive,0.7189608216,1
"9:58 ""if you're on a flight, in a crampt economy cabin..."" with your 4000$ headset on your head.",Neutral,0.9327735901,0
A new Vision Pro teardown shows Apple’s incredible pixel density,Positive,0.5304561257,1
A TV critic’s take on the Apple Vision Pro: Why does something that looks so good feel so bad?,Neutral,0.9860490561,0
Absolutely agree and so many have missed the point. Apple is planting their flag in the future - this isn’t the form that whatever headset/glasses will be when it becomes a mass market phenomenon but it is the beginning of the evolution of their vision.,Neutral,0.7202778459,0
ACL Consumer Intelligence Review: Apple Special Event September 2015 Part II – iPad Pro & Apple Pencil,Neutral,0.9545398355,0
After 10 or 15 years this vision pro may take the position of the original iPhone. Since the idea isn't exactly 100% efficient,Neutral,0.959322989,0
"After owning it also for about 1 month this is my conclusion:

- it exists so developers develop their apps on it on preparation for next ""consumer ready"" glasses instead of headsets

- it's not worth the money except for 3 people: 1. Rich kids who don't care about thounsads of dollars 2. Developers 3. For someone living in tiny space and he can't have home theater or big TV, this will become his go to media device

- Vision Pro problem is that Quest 3 exist, it made Quest 3 become more appealing, the reason this happened is because Vision Pro spent so much time developing their software

- Vision OS is the only thing in Vision Pro that's in a league of it's own, the hardware can be comparable to others but the software it's main selling point for me

- overall XR glasses will replace phones for good in a decade or so, hence Apple want to be the first there",Negative,0.5422247052,-1
"Almost 100 searches done by me ""Apple vision pro Mrwhosetheboss"" and the only thing i found was your old video when its news came out. REALLY BEEN WAITING FOR THIS ONE!",Positive,0.647474587,1
"Anyone looking forward to 5-10 years in the future and saying while your in the attic ""oh yeah, the Apple vision pro that released ten years ago that costs the amount of my car! I completely forgot about that. Why don't we try for a spin?""",Neutral,0.9826153517,0
"Apple 13"" MacBook Pro review: the best computer you shouldn't buy",Neutral,0.8743261695,0
Apple AirPods Pro Review: The ‘Hearable’ at Its Best,Positive,0.6623408794,1
"Apple always does amazing interfaces, but as a UX designer I still feel this product does not fill any gaps. Its a different way of consuming media, like a tablet, like a smartwatch. But even if this is the headset that is doing it better, its not the first one using this technologies and it still lacks on that proposition all other headsets lack of too.",Neutral,0.5550100803,0
Apple announces largest-ever $110 billion share buyback as iPhone sales drop 10%,Neutral,0.8220371604,0
"Apple announces visionOS, the operating system for its Vision Pro headset.",Neutral,0.947995007,0
Apple at the cross roads,Neutral,0.853112638,0
Apple brings creepy Spatial Persona avatars to Vision Pro to help you feel less alone,Neutral,0.933883667,0
Apple Cuts Vision Pro Shipments As Demand Falls 'Sharply Beyond Expectations',Neutral,0.9478571415,0
Apple does provide a different strap as well as that one fashion defining one,Neutral,0.8956375122,0
Apple eyes a foldable iPhone following Vision Pro launch | TechCrunch,Neutral,0.8850019574,0
Apple eyes business as a prime market for the Apple Vision Pro,Positive,0.4967463911,1
"Apple Has Sold Approximately 200,000 Vision Pro Headsets",Neutral,0.9523574114,0
"Apple hopes to convince people to buy its $3,500 Vision Pro headset using free 25-minute in-store demos",Neutral,0.5508845448,0
Apple Intelligence to miss initial launch of upcoming iOS 18 overhaul,Negative,0.595777154,-1
Apple is finally launching the Vision Pro outside the US,Neutral,0.9600191712,0
Apple is probably going to release an Apple Vision (not Pro) in a year or two when there will be many more apps and games for it. It’s going to cost close to the same price as the iPhone and it’s going to be more of a consumer product rather than a developer/tech enthusiast product!,Neutral,0.582511425,0
"Apple Is Reportedly Scaling Back Production Plans of Its $3,499 Vision Pro Mixed Reality Headset",Neutral,0.908747077,0
Apple is taking applications for Vision Pro developer kits,Neutral,0.9858534336,0
Apple just knows what they are doing. I think those other problems will be worked out later by apple or a competitor. these really do look amazing but people who cant see the vision apple does are just the same old haters that have there imagination killed off.,Positive,0.805772543,1
Apple Mac Pro review (2013),Neutral,0.9941958189,0
Apple MacBook Pro with Retina display review (mid 2012) -- Engadget,Neutral,0.9758481979,0
Apple makes Vision Pro for developers? Do you still remember Google Glasses? Apple does not want to sell you Vision Pro? Do you remember why Steve Jobs selected Tim Cook? What a joke! I mean both Vision Pro and those claims.,Neutral,0.5341470838,0
"Apple might have sold up to 180,000 Vision Pro headsets over pre-order weekend",Neutral,0.9856566191,0
"Apple never ""cut"" Vision Pro orders, 700k-800k sales projection was ""made up"" by one analyst",Neutral,0.9661132693,0
"Apple Plans a Slow, Appointment-Only Rollout of Its $3,500 Vision Pro",Neutral,0.9414401054,0
"Apple pushes foldable iPhone to 2027, moves Vision Pro engineers into the project | Cupertino is clearly in no rush to release a foldable phone",Neutral,0.9745315909,0
Apple reportedly cuts Vision Pro production due to low demand,Neutral,0.7150786519,0
Apple reportedly slashes Vision Pro headset production and cancels updated headset as sales tank in the US,Neutral,0.7439703941,0
Apple Reportedly Suspends Work on Vision Pro 2,Neutral,0.9869974852,0
Apple said this is NOT VR headset tho,Neutral,0.9873939753,0
apple straight up making Jarvis,Negative,0.9776648879,-1
"Apple sues former iOS engineer for allegedly leaking Vision Pro, Journal app details",Neutral,0.9908791184,0
Apple to close years-old loophole that lets children bypass parental controls,Neutral,0.8939403892,0
"Apple TV+ unveils groundbreaking, immersive originals from today’s biggest storytellers set to debut on Apple Vision Pro",Neutral,0.9750224948,0
"Apple under Jobs thought about the selling point first. To this day, his iPad Keynote is a masterclass in that. 

However unter Cook, they’ve been chasing trends. When the Watch launched their also was no reason. They were betting on it being fashionable with the gold one. But it really took off, with all the fitness tracking. That’s it’s killer feature. There it satisfies Jobs‘ category introduced in 2010.",Positive,0.8281102777,1
Apple vision noob,Negative,0.6443502307,-1
Apple Vision nursing home edition. 🤔,Neutral,0.9020872116,0
Apple Vision Pro and TechImma1st,Positive,0.9622187018,1
Apple Vision Pro AR Headset $3499,Neutral,0.972320199,0
Apple Vision Pro available in the U.S. on February 2,Neutral,0.959354043,0
Apple Vision Pro could be used to help the blind.  Describing the environment to help them navigate on commutes.,Positive,0.9023794532,1
Apple Vision Pro Could Take Four Generations to Reach 'Ideal Form',Neutral,0.8808618784,0
Apple Vision Pro Customer Interest Dying Down at Some Retail Stores,Negative,0.7181494236,-1
Apple Vision Pro have Premium Design.,Positive,0.654948473,1
"Apple vision Pro is awesome but seems to lack a use case whats the point of a media device that can only watch media for 2hrs, what plane journey lasts 2hrs",Positive,0.9923904538,1
Apple vision pro is just a bad idea.,Negative,0.9972993731,-1
"Apple vision pro is the most usless, most expensive garbage tech product i ever owned!",Negative,0.9943593144,-1
"Apple Vision Pro launch pre-view testers complain about weight, comfort, even headaches",Negative,0.8984031677,-1
Apple Vision Pro Owners Are Struggling to Figure Out What They Just Bought,Negative,0.4833621383,-1
Apple Vision Pro Review Roundup,Neutral,0.9706365466,0
"Apple Vision Pro review: magic, until it’s not",Positive,0.9885341525,1
Apple Vision Pro review: This is the future of computing and entertainment,Positive,0.8761989474,1
"Apple vision pro set the base for the future
Shitty companies will soon copy most of its features and get into the competion soon",Positive,0.7792879939,1
Apple Vision Pro should offer 360 view so you can literally have eyes in the back of your head,Positive,0.6811874509,1
"Apple Vision Pro Sold Out, At Least For Pre-Order",Negative,0.9364961386,-1
Apple Vision Pro tipped for late Jan/early Feb release,Positive,0.6260159612,1
"Apple Vision Pro U.S. Sales Are All But Dead, Market Analysts Say - Less Than 100k Units Shipped",Negative,0.8606348634,-1
"Apple Vision Pro users who wear glasses will need to order special magnetic lenses made by Zeiss, pricing not yet available",Neutral,0.98357898,0
Apple vision pro will take ove the world. amazing product,Positive,0.9914364219,1
"Apple vision pro, is essentially a Developers kit ALSO available to the public.
Thats all it is.
They want to make sure they are not left out on a potential new market, so they try to develop.
Thats all.",Neutral,0.9777943492,0
Apple Vision Pro: I went hands-on with the hottest gadget in the world,Neutral,0.576575458,0
"Apple Vision Pro: Is it the future of tech, or just a fancy pair of VR goggles for billionaires to play Minecraft in?",Neutral,0.97058779,0
Apple’s cheaper Vision Pro follow-up still won’t be cheap,Neutral,0.697272718,0
Apple’s Lead Marketer for New Vision Pro Headset Retires,Neutral,0.9791724086,0
Apple’s Vision Pro AR headset is finally here,Positive,0.5086086392,1
Apple’s Vision Pro battery pack is hiding the final boss of Lightning cables,Neutral,0.9905766249,0
Apple’s Vision Pro goes on sale outside the US for the first time,Neutral,0.9176803827,0
"Apple’s Vision Pro Is a $3,500 Ticket to Nowhere | A decade after Facebook bought Oculus, VR still has no appeal except as an expensive novelty toy.",Neutral,0.5467584729,0
Apple’s Vision Pro is proof that Meta’s Quest was right this entire time,Positive,0.9892632365,1
Apple’s Vision Pro is the most data-hungry gadget I’ve ever seen | The Vision Pro brings us a whole new dimension of privacy risks. Apple appears to have only partial solutions,Negative,0.9866262078,-1
"Apple's 1st gen products are often lacking. 1st gen of Apple Watch was considered a flop and now, how many people are wearing them? People probable forget but the 1st gen iphone wasn't really much to write home about either. Slow data speeds at that time severely limited capabilities. My first iphone was the 3rd gen model when data speeds actually started to provide benefits. I wonder what the 3rd gen headset is going to be like? Apple's business case for this product probably shows a loss in the 1st gen of this product. It's actually a great start and head and shoulders above other similar VR headsets in a lot of ways. Excited to see the next generations of these headsets.",Negative,0.6364263892,-1
Apple's Vision Pro AR headset to go on sale in February,Neutral,0.9309940934,0
"Apple's Vision Pro rips off the HoloLens, 7 years later",Neutral,0.9213263392,0
Apple's Vision Pro Won't Launch With Netflix App,Negative,0.9973045588,-1
"Arjun, I believe your wrong. I believe someone made an add on/app to the apple vision pro to make more than one monitor",Neutral,0.8848924637,0
Arun Bhai  i want this apple vision pro please gift me plz plz  i request you 🥺🥺💕,Positive,0.9897582531,1
ARUN i have a question on your apple vision pro i could see that you only had crunchyroll and not Netflix or tiktok so i want to ask you why crunchyroll and please tell us your fav anime😮,Neutral,0.9895423651,0
"As a XR dev, who has always coded for quest or vibe etc, I’m excited to see what Vision Pro can do that others can’t. With 3X the price, I’m expecting something really cool.",Positive,0.7980208993,1
As always a great video and all I can see is the Vision Pro is a huge amount of great tech crammed in a small environment. This is unfortunately doomed to failure as at the current price point it's a very expensive toy,Neutral,0.9377749562,0
As always Apple vision pro owners in the comments watching for validation that they did not waste money. But yes it is indeed a waste.,Neutral,0.9518121481,0
"As Apple Vision Pro reaches Europe, will VR ever hit the mainstream?",Neutral,0.9945117235,0
"As far as typing passwords in AR, I’m sure it could be possible for someone to record users hand movements and crack their security. One simple solution would be for Apple to allow users to create custom layouts for their AR keyboards.",Neutral,0.5782046914,0
"As I watch this I am having such Iphone flashbacks. I was a teenager back then but I remember my teacher doing a whole monologue to the class when we started talking about the original Iphone. He went about how these devices would take over our lives if we let them. I think back on that because he called it, even back then. 
The Vision Pro is the VR headset version of the first Iphone. Apple trying to show the world what our future can be. I agree with boss about this not really being for average consumers because of it's crazy price tag.
Companies controlling our vision is kinda scary but lets be real. Companies control everything already. The gas in our cars, our internet, our phones, our phone's connection. Our food, our beverages. All controlled by some company. Unless you want to live with the Amish, there is not much you can do to avoid corporate control. We all sign those many user agreements. Best accept it.",Neutral,0.8395991325,0
"As someone actually using their VR headset quite a bit this review feels like an outsiders perspective. The vision pro is not only lacking but straight up horrible at the very things that keeps most people from using their VR/MR headsets. The weight and clumsiness is one of the top reasons I've heard, this headset is even heavier than the quests and that's embarrassingly enough without the battery. Having a beefy chipset and great passthrough is really cool but as the video also states, they haven't even developed the software to utilize it. I would use my quest 3 right now if it was half as good but lighter tbh. I really think they started from the wrong end. Amazing video as always tho",Negative,0.9780381918,-1
As soon as the Apple Vision Pro came out and saw that Arun didn’t   post about it I was sure that he s gonna wait a little longer and post the best review,Positive,0.8833395243,1
At 22:10 marker - interesting - Arun sitting in the underground in between two ladies (using wired headset) - the lady on his left is reading newspaper - that's the reality - Vision pro is not for common people.,Negative,0.9949014187,-1
"AVP dries your eyes out and is disorienting after you take it off. Also the footage you're showing of ""what you're seeing"" is misleading too in a sense. The video streamed to the device is a lot crisper than what you actually see wearing the headset.",Negative,0.7521071434,-1
Axios Review: Using Apple’s Vision Pro in real life,Positive,0.5508841872,1
"Aye so why can’t we get vision pro glasses, but hear me out, wire all the tech to a box (hopefully no bigger than a large pocket). Googles glasses 2.0 :D",Positive,0.6147930622,1
Basically the best and most honest apple vision pro review so far,Neutral,0.7589140534,0
"Beautiful city scene, I wouldn't want to miss the full view with Apple Vision on.  Definitely want one but would be home use for me.",Positive,0.9635412097,1
Been waiting for this video since apple vision pro dropped😮,Neutral,0.4914910495,0
Before the Apple Vision Pro was announced I had a dream where I had a Mac where I could move the cursor with my eyes and blink to click things,Neutral,0.7276637554,0
Best Apple vision pro review by far 😅,Positive,0.9348273873,1
"Best review of Apple Vision Pro. 
I was planning to buy this when it arrives in Sweden. But if Youtube dosen’t work on this, i dosen’t want to pay +5000$ (Price we will pay in Sweden for this product).",Positive,0.9829694033,1
Best vision pro review ever👏👏 thank you,Positive,0.9956183434,1
Best Vision Pro video ever. I needed an explanation why this exists. Thanks!,Positive,0.9889420271,1
"Bill Gates wrote, ""A computer on every desk and in every home"" as far back as 1980 and people thought he was bat shit crazy. I grew up,in the 90’s, in a home with a “computer room”. My siblings and I would take turns playing mine sweeper and solitaire. I remember when everyone in my school started upgrading from flip phones to smart phones. Now each and every single one of us is walking around with legit computers in our pockets that surpasses the combined computing power of all the computers used in the historic Apollo 11 moon landing in 1969. Once this technology becomes socially acceptable and more affordable, I strongly believe this will be the norm. Everyone, and I mean EVERYONE, will be wearing a headset and reality will be subjugated either by vr or ar reality’s. Or Ai Or even better, neuralink + Apple vision contact lenses = matrix vibes.


Edit : Nothing is real",Positive,0.7062396407,1
Blind man shocked after Apple Vision Pro helps him see,Positive,0.5255973339,1
Bro deserves a PhD in 'Apple vision pro analysis',Positive,0.7550309896,1
Bro noticed that many YouTubers have been uploading videos about the Apple Vision Pro and I was eagerly waiting for you to share your thoughts on it.❤❤❤❤,Neutral,0.9443106651,0
Bro the Apple Vision Pro was not that heavily hyped and plus not a lot of people bought it so I’m jot surprised to see no one talking about it anymore,Neutral,0.5616949797,0
btw arun your face has a mark cause of the vision pro,Neutral,0.6368564963,0
By far one of the best videos on Apple vision Pro. Worth the wait!!,Neutral,0.7283027172,0
Can Apple Rescue the Vision Pro?,Negative,0.6071673036,-1
can i get a vision pro,Neutral,0.9928004742,0
Can the vision pro connect to AirPods? That would be cool,Neutral,0.8463639021,0
Can you blue tooth a keyboard to the Vision Pro?,Neutral,0.9666141272,0
cant wait for Vision Pro 2,Positive,0.9911257625,1
Christian Selig (Apollo Dev) makes the YouTube Vision Pro app that Google wouldn’t,Neutral,0.9895313978,0
"could have been made for half price, with same quality and feature amount, + its not a vr headset, its  ar headset",Neutral,0.9113363028,0
CT Scans of Apple Vision Pro and Meta Quest,Neutral,0.9899600744,0
"currently watching this on my Vision Pro lol you make a lot of valid points. I'm not sure either who Apple is trying to sell this to but I've been loving this thing so far. However, the glare coming from INSIDE the lenses is my most annoying feature. Still it's gen 1, we'll see what kinks they work out in gen 2. :D",Neutral,0.5507400632,0
"Delighted I dodged a bullet by steering clear of that exorbitantly priced gadget! Apple seems to have its hands in everything, dictating what you can or can't do, controlling the whole show. What a letdown! Vision Pro feels like a VIP club exclusively for Apple employees, too restricted to be of any real use. Getting my hands on a Vision Pro? Not in this lifetime! Apple might as well keep it all to themselves.",Negative,0.9690019488,-1
Driving using maps in vision pro might be interesting,Neutral,0.5262240767,0
Easily the best review on the Vision Pro. Thanks Arun !,Neutral,0.5189195871,0
"Even after a long time the apple vision pro released,his review makes it feel new❤",Neutral,0.7536882162,0
Every like this comment gets; I’ll go and try it out for myself at an Apple Store (I’m a skeptic about the Vision Pro),Neutral,0.9695200324,0
"Everyone has made the reviews on Apple Vission Pro, including MKBHD! But your one is the most reliable.",Neutral,0.9474263787,0
"Exactly.
Just comment on a other viedeo that Apple made the  vision pro to have there toe in it just to get there software locked up and established in there system. So ""android"" (or others) have it (like in the past) much harder to establish standards. The 3d space is 1 thing of that.
It could feel much less lonely if you could go in VR chat etc. That you can't share local 3D spaces or have an option to open ""tabs?"" in a public mode or something is a big leak too. 
I'm a bit mad that this 3d space is part of the apple vision, while being one of the main things. Because a public and cross compatible' ui between every AR glasses could have nearly infinite possibilitys in all day use cases.",Negative,0.8401015401,-1
Exelent editing for the scenes shot of you wearing the Apple Vision Pro and the Vision Pro UI edited in from the cameraman's perspective! Truely phenominal!,Positive,0.9707909822,1
Eyesight is a blessing let's just hope apple vision don't ruin it 😭,Negative,0.7453373075,-1
Farewell to the Tech That Died in 2023,Neutral,0.8479291201,0
"Fascinating... This may be the first video that addresses this very interesting point of apple's control freakery and how it applies to The vision Pro. Certainly made me think... I used to think I'd move to the iPhone when it had a USB C someday, but despite being a very happy MacBook user apple's weird obsessive control policies have kept me from getting the iPhone",Neutral,0.786059916,0
finally a apple vision pro review i want to watch. have been waiting,Neutral,0.6524035931,0
Finally a good Apple Vision Video. The apple vision pro is a true next gen product. Im talking next gen of humanity. The 2nd generation is going to trash anything that meta could ever release. Apple glasses is next. Im thinking 2030. NerveGear in 2045.,Positive,0.9749592543,1
Finally an apple vision review for you,Neutral,0.9592129588,0
finally apple vision pro review for my fav youtuber,Neutral,0.9875925183,0
Finally Arun reviewed the apple vision pro!!,Neutral,0.9650344253,0
Finally he is out with the apple vision pro. Ive been waiting for a long time from mrwhosetheboss,Neutral,0.7850393057,0
FINALLY HE POSTED A REVIEW ABOUT THE APPLE VISION PRO,Neutral,0.9771028757,0
"Finally someone explains why the screenshot blackout is actually annoying! Other points are also informative! Great job Arun!

Edit: I'm referring to 15:06 that you cannot even take a lousy screenshot of it with a camera",Negative,0.6760661602,-1
Finally the Vision Pro video 😍😍,Positive,0.9041671753,1
Finally u uploaded a video on Apple vision Pro❤,Neutral,0.9923098087,0
"Finally, the Vision Pro review I’ve been waiting for",Positive,0.5544067025,1
"First generation products is a trial version like products. Even apple launch first iphone doesnt have app store. But apple vision pro is in mixed reviews. Its not connect with others like social network. Heavy, not recommended for long hours usage. External battery for upto 2 hrs, pricey. No apps. Hope apple rectify those issues in next version.",Negative,0.9107830524,-1
"for me it is not worth it

to buy the vision pro unless it looks like a contact lens.",Negative,0.9942183495,-1
Forgot Your Apple Vision Pro’s Passcode? You May Have to Take It Back to Store,Neutral,0.9629024863,0
"From the release of Vision Pro,,,,I have been waiting for it's review by this Great  Tech Man",Neutral,0.580516398,0
"From the release of Vision Pro,,,,I have been waiting it's review by this Great  Tech Man",Neutral,0.7182808518,0
Good point! For developers and enthusiasts. Not for the mainstream! Mainly because it doesn't do much and it's not very comfortable.,Negative,0.6056241393,-1
"Good point! ill buy apple vision pro right now
now just......


could i borrow 3500 dollars?",Positive,0.9312479496,1
Good review. Can’t wait for Vision Pro 2.,Positive,0.985042274,1
"good to see you are trying the apple vision pro in public, the frame ai glasses looks way better in public and there is also a former apple worker into this one with a battery for 1 day/3hours, more normal looking glasses and only 39gramms vs 650 gramms but yeah not much features only a lil ai inside and image generation and let the ai analyse translate things around you and thats it but atleast you can wear it as normal glasses allday. for the better experience and wow feeling, power, possiblities and so on the apple vision pro wins but you will have motionsickness/pain after using them too long.",Positive,0.8005516529,1
Google's Android apps are coming in 3D via Xreal as competition with Apple's Vision Pro heats up,Negative,0.6901097894,-1
"Great  review! I have mine and love it, but I do agree with how it disconnects you from people. They definitely need to find a way to keep it from isolating you. Though I will say that after a while most people don’t feel that I am isolated from them. I’ve noticed like everything else they get used to me wearing it and I just let them know that I can see everything and to let me know if they need anything. the first week or two it did feel very isolating but now not so much though I will say that isolating feature is great when you’re working on it to keep you focused and not being constantly distracted by your phone or other things.",Positive,0.7468580604,1
"Great review …..actually i think you are being quite forgiving and generous in the compromise department - Steve jobs would never have released this Vision Pro in this way….at a push he would have soft launched and let developers get their hands on it - apple are big enough to roll out in that way without the risk of failure ….i think they have miscalculated - trying to push into mainstream for 3500 dollars , heavy , two hours battery , no major USP / Killer app , no improvement in productivity - seemingly watching Apple TV movie experience is the standout for consumers - and sorry that’s just NOT ENOUGH to create a knock out - especially when Meta have a 500 dollar headset with mainstream appeal - remember that reference to IPhone launch - when it took 3 big features email internet and cell - and made the mobile killer product launch - Steve Jobs would have INSISTED they need to do something similar if they wana succeed with this - the fanboy apologists will run outa steam within weeks - this is a product launch FAIL for someone as big as Apple - they need to own that and respond - and they should pay attention to some of the mainstream concerns you raised here - people are attached and engaged with mobile devices - if they want a killer product to really work - they should at the very least have had a more seamless /improved way of using iPhone - instead iPhone is better at so many things and poor to try read when wearing a Vision Pro that Steve Jobs would have given the engineer s list of 3500 things to fix before bringing to market. Vision Pro is a fail for me ——for one reason - I don’t want one.",Negative,0.9157559872,-1
"Great review, Arun! I'll be honest, I'm still not sure why Apple made this or who exactly this is for considering that VR continues to be just a fun party trick, like you mentioned. I don't see this replacing my computer or my phone since it's not powerful enough and it's far too cumbersome; not to mention the price. Maybe you could do a video about why Apple made the Vision Pro at all?",Negative,0.6659906507,-1
Great video but I don't understand the comparison of the Vision Pro to the Meta Quest. I feel its a direct competitor to the Microsoft Hololens. They literally do the same things and are the exact same price.🤔,Neutral,0.9860630631,0
Great video on AVP and the wisdom on it.,Neutral,0.5746767521,0
Great video! I think developers are not so interested in the Apple Vision Pro. The apparent lack of interest of developers from the Apple Vision Pro could be attributed to the high development costs and niche market for augmented reality (AR) and virtual reality (VR) applications might deter developers who are seeking broader and more immediate market opportunities.,Negative,0.97666049,-1
"Great video, and I can't wait until we can have something as functional for productivity or gaming as the Quest or the Vision Pro in the form factor of normal specs",Neutral,0.8552352786,0
"Hands down the best review of the vision pro I've seen... Next to this would be from the verge. 

You gave a perspective I never thought of and no one really has talked about.. Honestly, great stuff The Boss.. 👌🏾",Positive,0.9631782174,1
Hands-on with Apple Vision Pro: This is not a VR headset,Positive,0.9480088353,1
Hands-on: Apple Upgrades Personas for True Face-to-face Chats on Vision Pro,Neutral,0.7610480785,0
"Here’s what Mark Zuckerberg thinks about Apple’s Vision Pro | Zuckerberg directly addressed Apple’s headset unveiling in a meeting with Meta employees today, telling them that it ‘could be the vision of the future of computing, but like, it’s not the one that I want.’",Negative,0.6469301581,-1
